,authors,counterComp,counterInd
0,Reuters,3394.0,1562.0
1,Lee Moran,2406.0,2400.0
2,Ron Dicker,1759.0,1758.0
3,Ed Mazza,1188.0,1186.0
4,Cole Delbyck,1139.0,1135.0
5,Julia Brucculieri,1039.0,1037.0
6,Andy Mcdonald,1001.0,998.0
7,Mary Papenfuss,974.0,973.0
8,Carly Ledbetter,950.0,948.0
9,Curtis M. Wong,890.0,890.0
10,Nina Golgowski,882.0,864.0
11,Michelle Manetti,857.0,856.0
12,Dana Oliver,825.0,823.0
13,David Moye,811.0,806.0
14,Sam Levine,795.0,774.0
15,Igor Bobic,789.0,729.0
16,Bill Bradley,759.0,749.0
17,James Michael Nichols,747.0,747.0
18,Ellie Krupnick,720.0,720.0
19,Michelle Persad,713.0,713.0
