,authors,counterComp,counterInd,rate
165,Andrew Hart,116.0,1.0,99.13793103448276
94,Janie Velencia,241.0,76.0,68.46473029045643
215,Grace Sparks,66.0,22.0,66.66666666666667
0,Reuters,3394.0,1562.0,53.97760754272245
70,Jeffrey Young,325.0,153.0,52.92307692307692
121,Ryan Grim,181.0,90.0,50.27624309392265
227,Eline Gordts,59.0,33.0,44.067796610169495
187,Jason Cherkis,87.0,52.0,40.229885057471265
28,Ariel Edwards-Levy,627.0,386.0,38.43700159489633
228,Nick Baumann,58.0,39.0,32.758620689655174
63,Arthur Delaney,353.0,240.0,32.01133144475921
62,Sam Stein,359.0,264.0,26.462395543175486
154,Emma Gray,131.0,99.0,24.427480916030536
137,Jessica Schulberg,154.0,118.0,23.376623376623378
67,Ryan J. Reilly,338.0,259.0,23.37278106508876
236,Samantha-Jo Roth,53.0,41.0,22.641509433962263
148,Howard Fineman,138.0,107.0,22.463768115942027
49,Elise Foley,422.0,333.0,21.09004739336493
141,Ben Walsh,146.0,116.0,20.54794520547945
159,Natalie Jackson,125.0,100.0,20.0
